Date,Open,High,Low,Close,Adj Close,Volume
11/19/2007,15177.16992,15302.75977,15040.09961,15042.55957,15042.55957,125400
11/20/2007,14868.98047,15222.24023,14751.26953,15211.51953,15211.51953,184600
11/21/2007,15113.83008,15154.30957,14770.21973,14837.66016,14837.66016,149000
11/22/2007,14726.62012,15000.17969,14669.84961,14888.76953,14888.76953,161200
11/26/2007,14921.57031,15295.20996,14912.83008,15135.20996,15135.20996,146000
11/27/2007,14953.92969,15312.54981,14801.87012,15222.84961,15222.84961,159200
11/28/2007,15271.13965,15280.91016,15089.34961,15153.78027,15153.78027,134200
11/29/2007,15339.61035,15555.04004,15339.61035,15513.74023,15513.74023,129800
11/30/2007,15520.53027,15751.2002,15520.53027,15680.66992,15680.66992,171200
12/3/2007,15747.46973,15799.69043,15577.69043,15628.96973,15628.96973,137600
12/4/2007,15613.88965,15683.17969,15446.46973,15480.19043,15480.19043,124200
12/5/2007,15418.9502,15621.54004,15365.38965,15608.87988,15608.87988,137000
12/6/2007,15782.40039,15898.25977,15740.94043,15874.08008,15874.08008,129200
12/7/2007,15992.24023,16107.65039,15948.54004,15956.37012,15956.37012,146000
12/10/2007,16007.33008,16017.13965,15826.25,15924.38965,15924.38965,116200
12/11/2007,16003.08984,16075.61035,15972.4502,16044.71973,16044.71973,102800
12/12/2007,15828.65039,15963.42969,15700.15039,15932.25977,15932.25977,142800
12/13/2007,15818.48047,15833.09961,15532.53027,15536.51953,15536.51953,141000
12/14/2007,15547.19043,15697.04981,15433.76953,15514.50977,15514.50977,200200
12/17/2007,15433.29981,15508.5,15219.07031,15249.79004,15249.79004,113200
12/18/2007,15099.2002,15301.69043,15004.41016,15207.86035,15207.86035,139800
12/19/2007,15165.08984,15267.75,15030.50977,15030.50977,15030.50977,118200
12/20/2007,15151.37012,15161.66016,15017.96973,15031.59961,15031.59961,108600
12/21/2007,15044.34961,15275.61035,14998.00977,15257,15257,135400
12/25/2007,15441.33008,15583.38965,15441.33008,15552.58984,15552.58984,90600
12/26/2007,15613.95996,15653.54004,15559.46973,15653.54004,15653.54004,94000
12/27/2007,15616.41016,15628.30957,15535.50977,15564.69043,15564.69043,93000
12/28/2007,15413.37012,15413.37012,15240.95996,15307.78027,15307.78027,61200
1/4/2008,15155.73047,15156.66016,14542.58008,14691.41016,14691.41016,98800
1/7/2008,14549.37988,14667.84961,14438.61035,14500.54981,14500.54981,139800
1/8/2008,14429.29981,14547.79981,14365.86035,14528.66992,14528.66992,146800
